reference,objet_marche,maitre_ouvrage_nom,maitre_ouvrage_adresse,maitre_ouvrage_telephone,maitre_ouvrage_fax,budget,date_publication,delai_execution_total,delai_execution_phase1,delai_execution_phase2,documents_requis_administratif,documents_requis_technique,documents_requis_financier,conditions_participation,chef_de_mission_diplome,chef_de_mission_experience,chef_de_mission_competences,expert_exploitation_diplome,expert_exploitation_experience,expert_exploitation_competences,expert_maintenance_diplome,expert_maintenance_experience,expert_maintenance_competences,note_technique,note_financiere,note_minimale,ponderation_technique,ponderation_financiere,mode_soumission_electronique,support_portail
AO-2025010,Marché de prestation 10,Ministère de l'Équipement,"Rue 10, Rabat",05 37 00 00 10,05 37 00 00 10,2725439,2024-04-12,118,46,13,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,18,"Planification, Coordination",Ingénieur en exploitation,3,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025011,Marché de prestation 11,Ministère de l'Équipement,"Rue 11, Rabat",05 37 00 00 11,05 37 00 00 11,2802007,2024-08-11,168,12,43,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,14,"Planification, Coordination",Ingénieur en exploitation,15,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025012,Marché de prestation 12,Ministère de l'Équipement,"Rue 12, Rabat",05 37 00 00 12,05 37 00 00 12,2725077,2024-12-08,154,17,13,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,14,"Planification, Coordination",Ingénieur en exploitation,12,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025013,Marché de prestation 13,Ministère de l'Équipement,"Rue 13, Rabat",05 37 00 00 13,05 37 00 00 13,3900557,2024-04-05,162,36,36,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,6,"Planification, Coordination",Ingénieur en exploitation,11,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025014,Marché de prestation 14,Ministère de l'Équipement,"Rue 14, Rabat",05 37 00 00 14,05 37 00 00 14,1036464,2024-10-07,89,11,23,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,19,"Planification, Coordination",Ingénieur en exploitation,6,"Gestion des opérations, Supervision",Technicien spécialisé,8,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025015,Marché de prestation 15,Ministère de l'Équipement,"Rue 15, Rabat",05 37 00 00 15,05 37 00 00 15,119575,2024-08-10,69,24,58,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,17,"Planification, Coordination",Ingénieur en exploitation,15,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025016,Marché de prestation 16,Ministère de l'Équipement,"Rue 16, Rabat",05 37 00 00 16,05 37 00 00 16,4469025,2024-07-28,92,11,59,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,9,"Planification, Coordination",Ingénieur en exploitation,7,"Gestion des opérations, Supervision",Technicien spécialisé,9,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025017,Marché de prestation 17,Ministère de l'Équipement,"Rue 17, Rabat",05 37 00 00 17,05 37 00 00 17,1895694,2024-12-31,118,52,37,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,5,"Planification, Coordination",Ingénieur en exploitation,8,"Gestion des opérations, Supervision",Technicien spécialisé,8,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025018,Marché de prestation 18,Ministère de l'Équipement,"Rue 18, Rabat",05 37 00 00 18,05 37 00 00 18,1827320,2024-05-30,139,41,18,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,16,"Planification, Coordination",Ingénieur en exploitation,11,"Gestion des opérations, Supervision",Technicien spécialisé,7,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025019,Marché de prestation 19,Ministère de l'Équipement,"Rue 19, Rabat",05 37 00 00 19,05 37 00 00 19,1542092,2024-08-18,65,13,21,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,6,"Planification, Coordination",Ingénieur en exploitation,8,"Gestion des opérations, Supervision",Technicien spécialisé,9,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025020,Marché de prestation 20,Ministère de l'Équipement,"Rue 20, Rabat",05 37 00 00 20,05 37 00 00 20,4820293,2024-01-16,120,18,53,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,11,"Planification, Coordination",Ingénieur en exploitation,15,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025021,Marché de prestation 21,Ministère de l'Équipement,"Rue 21, Rabat",05 37 00 00 21,05 37 00 00 21,295076,2024-11-21,152,17,49,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,11,"Planification, Coordination",Ingénieur en exploitation,10,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025022,Marché de prestation 22,Ministère de l'Équipement,"Rue 22, Rabat",05 37 00 00 22,05 37 00 00 22,2342156,2024-06-10,119,42,44,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,19,"Planification, Coordination",Ingénieur en exploitation,6,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025023,Marché de prestation 23,Ministère de l'Équipement,"Rue 23, Rabat",05 37 00 00 23,05 37 00 00 23,3585187,2024-11-23,36,58,34,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,9,"Planification, Coordination",Ingénieur en exploitation,5,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025024,Marché de prestation 24,Ministère de l'Équipement,"Rue 24, Rabat",05 37 00 00 24,05 37 00 00 24,3152015,2024-11-05,172,22,11,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,11,"Planification, Coordination",Ingénieur en exploitation,7,"Gestion des opérations, Supervision",Technicien spécialisé,9,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025025,Marché de prestation 25,Ministère de l'Équipement,"Rue 25, Rabat",05 37 00 00 25,05 37 00 00 25,1336460,2024-06-09,70,56,43,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,11,"Planification, Coordination",Ingénieur en exploitation,8,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025026,Marché de prestation 26,Ministère de l'Équipement,"Rue 26, Rabat",05 37 00 00 26,05 37 00 00 26,2407766,2024-11-02,80,11,40,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,14,"Planification, Coordination",Ingénieur en exploitation,12,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025027,Marché de prestation 27,Ministère de l'Équipement,"Rue 27, Rabat",05 37 00 00 27,05 37 00 00 27,2233102,2024-02-28,64,13,53,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,11,"Planification, Coordination",Ingénieur en exploitation,10,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025028,Marché de prestation 28,Ministère de l'Équipement,"Rue 28, Rabat",05 37 00 00 28,05 37 00 00 28,1074092,2024-12-06,68,19,21,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,12,"Planification, Coordination",Ingénieur en exploitation,10,"Gestion des opérations, Supervision",Technicien spécialisé,10,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025029,Marché de prestation 29,Ministère de l'Équipement,"Rue 29, Rabat",05 37 00 00 29,05 37 00 00 29,4331670,2024-10-18,70,45,29,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,6,"Planification, Coordination",Ingénieur en exploitation,3,"Gestion des opérations, Supervision",Technicien spécialisé,3,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025030,Marché de prestation 30,Ministère de l'Équipement,"Rue 30, Rabat",05 37 00 00 30,05 37 00 00 30,807175,2024-09-14,177,48,21,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,17,"Planification, Coordination",Ingénieur en exploitation,13,"Gestion des opérations, Supervision",Technicien spécialisé,10,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025031,Marché de prestation 31,Ministère de l'Équipement,"Rue 31, Rabat",05 37 00 00 31,05 37 00 00 31,3284029,2024-01-09,63,13,26,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,13,"Planification, Coordination",Ingénieur en exploitation,9,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025032,Marché de prestation 32,Ministère de l'Équipement,"Rue 32, Rabat",05 37 00 00 32,05 37 00 00 32,4257863,2024-05-08,35,11,57,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,12,"Planification, Coordination",Ingénieur en exploitation,15,"Gestion des opérations, Supervision",Technicien spécialisé,8,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025033,Marché de prestation 33,Ministère de l'Équipement,"Rue 33, Rabat",05 37 00 00 33,05 37 00 00 33,1809429,2024-08-11,131,20,47,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,10,"Planification, Coordination",Ingénieur en exploitation,5,"Gestion des opérations, Supervision",Technicien spécialisé,7,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025034,Marché de prestation 34,Ministère de l'Équipement,"Rue 34, Rabat",05 37 00 00 34,05 37 00 00 34,4727416,2024-06-03,117,16,34,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,8,"Planification, Coordination",Ingénieur en exploitation,7,"Gestion des opérations, Supervision",Technicien spécialisé,8,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025035,Marché de prestation 35,Ministère de l'Équipement,"Rue 35, Rabat",05 37 00 00 35,05 37 00 00 35,2257146,2024-07-10,92,39,47,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,18,"Planification, Coordination",Ingénieur en exploitation,5,"Gestion des opérations, Supervision",Technicien spécialisé,6,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025036,Marché de prestation 36,Ministère de l'Équipement,"Rue 36, Rabat",05 37 00 00 36,05 37 00 00 36,1635863,2024-06-02,128,23,51,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,5,"Planification, Coordination",Ingénieur en exploitation,7,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025037,Marché de prestation 37,Ministère de l'Équipement,"Rue 37, Rabat",05 37 00 00 37,05 37 00 00 37,594564,2024-07-02,33,25,55,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,16,"Planification, Coordination",Ingénieur en exploitation,7,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025038,Marché de prestation 38,Ministère de l'Équipement,"Rue 38, Rabat",05 37 00 00 38,05 37 00 00 38,1278848,2024-02-22,70,43,39,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,10,"Planification, Coordination",Ingénieur en exploitation,12,"Gestion des opérations, Supervision",Technicien spécialisé,9,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025039,Marché de prestation 39,Ministère de l'Équipement,"Rue 39, Rabat",05 37 00 00 39,05 37 00 00 39,590849,2024-10-23,113,57,35,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,19,"Planification, Coordination",Ingénieur en exploitation,8,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025040,Marché de prestation 40,Ministère de l'Équipement,"Rue 40, Rabat",05 37 00 00 40,05 37 00 00 40,674515,2024-10-08,93,40,15,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,10,"Planification, Coordination",Ingénieur en exploitation,5,"Gestion des opérations, Supervision",Technicien spécialisé,10,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025041,Marché de prestation 41,Ministère de l'Équipement,"Rue 41, Rabat",05 37 00 00 41,05 37 00 00 41,4154082,2024-07-10,55,40,53,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,11,"Planification, Coordination",Ingénieur en exploitation,9,"Gestion des opérations, Supervision",Technicien spécialisé,4,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025042,Marché de prestation 42,Ministère de l'Équipement,"Rue 42, Rabat",05 37 00 00 42,05 37 00 00 42,4197503,2024-07-23,52,60,41,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,12,"Planification, Coordination",Ingénieur en exploitation,14,"Gestion des opérations, Supervision",Technicien spécialisé,9,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025043,Marché de prestation 43,Ministère de l'Équipement,"Rue 43, Rabat",05 37 00 00 43,05 37 00 00 43,4831793,2024-02-07,96,10,37,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,7,"Planification, Coordination",Ingénieur en exploitation,6,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025044,Marché de prestation 44,Ministère de l'Équipement,"Rue 44, Rabat",05 37 00 00 44,05 37 00 00 44,2411661,2024-01-14,64,59,44,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,17,"Planification, Coordination",Ingénieur en exploitation,6,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025045,Marché de prestation 45,Ministère de l'Équipement,"Rue 45, Rabat",05 37 00 00 45,05 37 00 00 45,3950097,2024-12-12,161,48,53,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,10,"Planification, Coordination",Ingénieur en exploitation,13,"Gestion des opérations, Supervision",Technicien spécialisé,10,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025046,Marché de prestation 46,Ministère de l'Équipement,"Rue 46, Rabat",05 37 00 00 46,05 37 00 00 46,2620386,2024-02-19,160,13,26,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,6,"Planification, Coordination",Ingénieur en exploitation,6,"Gestion des opérations, Supervision",Technicien spécialisé,9,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025047,Marché de prestation 47,Ministère de l'Équipement,"Rue 47, Rabat",05 37 00 00 47,05 37 00 00 47,2175379,2024-10-26,162,60,28,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,18,"Planification, Coordination",Ingénieur en exploitation,6,"Gestion des opérations, Supervision",Technicien spécialisé,10,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025048,Marché de prestation 48,Ministère de l'Équipement,"Rue 48, Rabat",05 37 00 00 48,05 37 00 00 48,2170595,2024-12-01,61,36,57,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,14,"Planification, Coordination",Ingénieur en exploitation,8,"Gestion des opérations, Supervision",Technicien spécialisé,5,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025049,Marché de prestation 49,Ministère de l'Équipement,"Rue 49, Rabat",05 37 00 00 49,05 37 00 00 49,1715928,2024-09-20,73,35,28,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,19,"Planification, Coordination",Ingénieur en exploitation,4,"Gestion des opérations, Supervision",Technicien spécialisé,10,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025050,Marché de prestation 50,Ministère de l'Équipement,"Rue 50, Rabat",05 37 00 00 50,05 37 00 00 50,4521606,2024-12-27,55,56,54,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,18,"Planification, Coordination",Ingénieur en exploitation,6,"Gestion des opérations, Supervision",Technicien spécialisé,7,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025051,Marché de prestation 51,Ministère de l'Équipement,"Rue 51, Rabat",05 37 00 00 51,05 37 00 00 51,2448172,2024-12-25,123,43,46,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,14,"Planification, Coordination",Ingénieur en exploitation,5,"Gestion des opérations, Supervision",Technicien spécialisé,7,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025052,Marché de prestation 52,Ministère de l'Équipement,"Rue 52, Rabat",05 37 00 00 52,05 37 00 00 52,137274,2024-06-10,163,57,32,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,16,"Planification, Coordination",Ingénieur en exploitation,15,"Gestion des opérations, Supervision",Technicien spécialisé,8,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
AO-2025053,Marché de prestation 53,Ministère de l'Équipement,"Rue 53, Rabat",05 37 00 00 53,05 37 00 00 53,1374636,2024-09-26,43,33,20,"RC, CNSS","Mémoire technique, Méthodologie","Déclaration bancaire, Attestation fiscale","Expérience similaire, Moyens humains",Ingénieur génie civil,16,"Planification, Coordination",Ingénieur en exploitation,6,"Gestion des opérations, Supervision",Technicien spécialisé,6,"Maintenance préventive, Corrective",60,40,70,0.6,0.4,True,www.marchespublics.gov.ma
